taxi_type,bucket,avg_co2,trips
YELLOW,0,1.2757419704423334,93917943
YELLOW,1,1.2154057790247896,94353586
YELLOW,5,1.1451476194862313,111709034
YELLOW,4,1.144181909257919,111259372
YELLOW,2,1.126797578581885,103752214
YELLOW,3,1.1243770890829534,108028642
YELLOW,6,1.113157413298529,108754084
GREEN,0,1.0803910482676367,9271468
GREEN,6,1.0482049002951666,11100311
GREEN,1,1.0200845178393934,7862630
GREEN,4,1.0090976590878933,9253829
GREEN,5,1.0052072109771004,10357043
GREEN,3,1.0046829494533693,8629348
GREEN,2,1.0025623421668248,8162894
