taxi_type,bucket,avg_co2,trips
YELLOW,5,1.8477762369064983,6699701
YELLOW,4,1.653855441541523,6456559
YELLOW,6,1.4049930577856065,15115275
YELLOW,0,1.3411159646427888,23856267
YELLOW,23,1.3338380401545482,32090985
YELLOW,3,1.3296670112192452,8602577
YELLOW,1,1.2764786399272445,16954150
YELLOW,22,1.2576700919861505,38654470
YELLOW,2,1.2428463320560477,12083322
YELLOW,21,1.2093453009631032,40991655
YELLOW,16,1.1914410940393705,36951173
YELLOW,14,1.1758867045452646,40225542
YELLOW,15,1.1681873048332507,39773394
YELLOW,20,1.1547186671783265,41527221
YELLOW,7,1.1508519424737627,25789689
YELLOW,13,1.1276050928514971,38305799
YELLOW,17,1.1150943169853613,41899237
YELLOW,12,1.06540348427079,37939690
YELLOW,19,1.0634280809565277,45407545
YELLOW,10,1.0475252894141545,33974717
YELLOW,11,1.0461436138530864,35735480
YELLOW,18,1.041684195862498,46969366
YELLOW,8,1.0411186709599063,32248240
YELLOW,9,1.0217388049648142,33522821
GREEN,5,1.5416427448783658,642615
GREEN,6,1.5391681803538613,937446
GREEN,4,1.2456369722932414,920208
GREEN,7,1.1971086615163506,1836653
GREEN,3,1.126653038319359,1104377
GREEN,8,1.073979360647586,2710211
GREEN,9,1.067433693487526,2860164
GREEN,2,1.0624880522372322,1418299
GREEN,10,1.058435207181217,2723558
GREEN,11,1.0533757974234592,2708724
GREEN,23,1.048851111149959,3036134
GREEN,12,1.0475539193444963,2743941
GREEN,13,1.0448705682394734,2773813
GREEN,0,1.038780645597251,2508468
GREEN,22,1.0369928368793246,3309242
GREEN,1,1.0329233195126173,1937429
GREEN,14,1.0244084437472514,3134947
GREEN,15,1.0048258422576068,3480319
GREEN,16,0.9870114762428587,3760987
GREEN,21,0.9841924410521763,3521416
GREEN,20,0.9358388167104668,3754043
GREEN,17,0.929730262403211,4114356
GREEN,19,0.9012430053813101,4256272
GREEN,18,0.8977005629739109,4443901
