taxi_type,bucket,avg_co2,trips
YELLOW,8,1.208031030000411,54601038
YELLOW,9,1.1967175579957416,56904611
YELLOW,7,1.1952002026286042,55799693
YELLOW,5,1.1879177864644304,63797590
YELLOW,6,1.1849103746998721,60800167
YELLOW,10,1.177037715338749,63092213
YELLOW,11,1.1574669574795173,59036831
YELLOW,4,1.156509012236165,62920694
YELLOW,12,1.1477547335501446,59677121
YELLOW,3,1.1369286425603378,66865141
YELLOW,1,1.0990966918090463,64662614
YELLOW,2,1.0943823025637578,63617162
GREEN,8,1.0641002001619515,4886544
GREEN,9,1.0598249094389445,4794279
GREEN,7,1.0521159466046577,5072503
GREEN,5,1.0436083902128759,5857992
GREEN,6,1.039381144392556,5408651
GREEN,10,1.0313869436985807,5122178
GREEN,4,1.0202003792455745,5760911
GREEN,11,1.0160902300325274,4775195
GREEN,12,1.006848737068128,4991441
GREEN,3,1.0067798322655817,6203141
GREEN,2,0.9905549255209678,5879307
GREEN,1,0.988148351483107,5885381
