taxi_type,month_start,total_co2_kg
YELLOW,2015-01-01,13474860.826533528
YELLOW,2015-02-01,13234516.3327359
YELLOW,2015-03-01,14742080.296927478
YELLOW,2015-04-01,14633411.909729972
YELLOW,2015-05-01,15302812.625129223
YELLOW,2015-06-01,14112111.32653609
YELLOW,2015-07-01,13270012.448143514
YELLOW,2015-08-01,13038021.463946905
YELLOW,2015-09-01,13080204.158146152
YELLOW,2015-10-01,14137524.753736192
YELLOW,2015-11-01,12933242.855543409
YELLOW,2015-12-01,12931839.838543648
YELLOW,2016-01-01,12008263.590749446
YELLOW,2016-02-01,12327280.312944835
YELLOW,2016-03-01,13694313.832338406
YELLOW,2016-04-01,13368510.477340214
YELLOW,2016-05-01,13745985.506540129
YELLOW,2016-06-01,12847892.20694615
YELLOW,2016-07-01,11916386.841153886
YELLOW,2016-08-01,11456676.912557067
YELLOW,2016-09-01,11770756.997755388
YELLOW,2016-10-01,12398578.398148866
YELLOW,2016-11-01,11329336.852955367
YELLOW,2016-12-01,11467700.355353083
YELLOW,2017-01-01,10382341.474955074
YELLOW,2017-02-01,9759244.112965183
YELLOW,2017-03-01,11283397.740954367
YELLOW,2017-04-01,11282938.936556393
YELLOW,2017-05-01,11480010.124755947
YELLOW,2017-06-01,10918426.626960054
YELLOW,2017-07-01,9813188.840768905
YELLOW,2017-08-01,9681756.500370001
YELLOW,2017-09-01,10172340.250966119
YELLOW,2017-10-01,10963609.261559516
YELLOW,2017-11-01,10164944.470564391
YELLOW,2017-12-01,10205248.63856286
YELLOW,2018-01-01,9203753.763170054
YELLOW,2018-02-01,8882017.312572401
YELLOW,2018-03-01,10191669.946564663
YELLOW,2018-04-01,10299824.49776476
YELLOW,2018-05-01,10483136.930965051
YELLOW,2018-06-01,9883121.331370013
YELLOW,2018-07-01,8880788.297577554
YELLOW,2018-08-01,8944087.755177377
YELLOW,2018-09-01,9106491.524376199
YELLOW,2018-10-01,9897080.642770743
YELLOW,2018-11-01,8944454.01057645
YELLOW,2018-12-01,8860310.276177261
YELLOW,2019-01-01,8041355.567581838
YELLOW,2019-02-01,7568195.949385829
YELLOW,2019-03-01,8750787.808579905
YELLOW,2019-04-01,8317840.390782791
YELLOW,2019-05-01,8562066.774581976
YELLOW,2019-06-01,7957784.379185963
YELLOW,2019-07-01,7193995.999590164
YELLOW,2019-08-01,7042687.762991264
YELLOW,2019-09-01,7441485.443389015
YELLOW,2019-10-01,7957688.265785891
YELLOW,2019-11-01,7406209.860988686
YELLOW,2019-12-01,7524884.582987305
YELLOW,2020-01-01,6744769.051192157
YELLOW,2020-02-01,6502647.821793126
YELLOW,2020-03-01,3119499.3402035786
YELLOW,2020-04-01,210745.86060002836
YELLOW,2020-05-01,286072.94520003814
YELLOW,2020-06-01,520013.97540007834
YELLOW,2020-07-01,738916.5360002286
YELLOW,2020-08-01,935643.5012002051
YELLOW,2020-09-01,1185874.2194003982
YELLOW,2020-10-01,1450040.8448007177
YELLOW,2020-11-01,1298043.3186005661
YELLOW,2020-12-01,1239065.1032005055
YELLOW,2021-01-01,1231946.4112004435
YELLOW,2021-02-01,1195271.9348004495
YELLOW,2021-03-01,1721534.3642011164
YELLOW,2021-04-01,2070692.5230017637
YELLOW,2021-05-01,2559808.8998021493
YELLOW,2021-06-01,3006918.4540029014
YELLOW,2021-07-01,3189673.7160029057
YELLOW,2021-08-01,3251035.698002798
YELLOW,2021-09-01,3373889.4510030067
YELLOW,2021-10-01,3870261.0310034985
YELLOW,2021-11-01,4022542.88460323
YELLOW,2021-12-01,3861835.055403343
YELLOW,2022-01-01,2758674.8432023684
YELLOW,2022-02-01,3290573.2996030184
YELLOW,2022-03-01,4334515.497402633
YELLOW,2022-04-01,4459057.396601114
YELLOW,2022-05-01,4629966.215602018
YELLOW,2022-06-01,4529416.501802341
YELLOW,2022-07-01,4108186.334602219
YELLOW,2022-08-01,4140012.2542022886
YELLOW,2022-09-01,4195761.480402294
YELLOW,2022-10-01,4730770.354600119
YELLOW,2022-11-01,4130159.1278012167
YELLOW,2022-12-01,4306944.6392022865
YELLOW,2023-01-01,3777961.831602512
YELLOW,2023-02-01,3493518.1668025497
YELLOW,2023-03-01,4221505.90280151
YELLOW,2023-04-01,4187143.2628017324
YELLOW,2023-05-01,4486352.01380136
YELLOW,2023-06-01,4256945.044801554
YELLOW,2023-07-01,3800662.256402757
YELLOW,2023-08-01,3720477.3886022586
YELLOW,2023-09-01,3591453.644002189
YELLOW,2023-10-01,4385194.144201299
YELLOW,2023-11-01,4044534.3320020605
YELLOW,2023-12-01,3965151.1920025544
YELLOW,2024-01-01,3446537.771202127
YELLOW,2024-02-01,3368230.9888023264
YELLOW,2024-03-01,3961589.2620013417
YELLOW,2024-04-01,3938184.41220157
YELLOW,2024-05-01,4250079.858401883
YELLOW,2024-06-01,4010118.8150019944
YELLOW,2024-07-01,3779993.11020259
YELLOW,2024-08-01,3749348.937401979
YELLOW,2024-09-01,4180489.945401797
YELLOW,2024-10-01,4471166.548801851
YELLOW,2024-11-01,4059713.4434024575
YELLOW,2024-12-01,4131718.431202244
GREEN,2015-01-01,1461747.2135000152
GREEN,2015-02-01,1526598.4195000108
GREEN,2015-03-01,1689305.6810000124
GREEN,2015-04-01,1678443.595499995
GREEN,2015-05-01,1860070.138500027
GREEN,2015-06-01,1656032.885500016
GREEN,2015-07-01,1587342.5470000086
